school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,F,19,U,GT3,T,3,4,services,other,course,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,4,1,3,5,2,13,12,12
GP,F,16,U,GT3,T,4,3,services,health,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,5,2,1,5,3,8,8,7
GP,F,18,U,GT3,T,4,2,health,at_home,home,other,1,3,1,no,no,no,no,yes,yes,yes,no,3,3,5,4,4,3,0,8,10,10
MS,F,17,R,GT3,T,2,3,other,at_home,other,other,4,4,3,no,no,yes,no,yes,yes,yes,no,5,3,4,1,2,3,3,8,9,10
GP,F,16,U,LE3,T,1,3,at_home,other,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,1,4,5,1,4,4,3,11,12,10
MS,F,17,R,GT3,T,4,3,teacher,other,other,mother,2,2,1,no,yes,no,no,yes,yes,yes,no,2,3,1,3,1,5,11,14,17,15
MS,F,15,U,LE3,T,0,2,other,services,other,mother,1,1,1,yes,no,no,no,no,yes,yes,no,4,2,2,1,4,3,3,12,12,13
MS,M,18,U,GT3,A,4,2,teacher,other,other,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,2,2,1,4,2,7,9,10,8
GP,F,18,R,GT3,T,3,3,services,services,reputation,mother,2,4,0,no,no,no,yes,no,yes,yes,no,4,3,3,1,4,3,1,8,10,10
MS,F,17,R,GT3,T,4,1,other,other,other,mother,3,1,0,no,no,no,no,yes,no,no,yes,5,5,3,1,1,4,3,16,15,15
GP,M,17,U,GT3,A,3,1,other,services,course,mother,1,3,0,no,no,no,no,yes,yes,no,yes,4,4,4,3,5,5,0,8,9,9
GP,F,18,U,LE3,T,4,4,other,services,home,mother,3,3,0,no,no,no,yes,yes,yes,yes,no,5,3,2,1,1,5,2,16,12,14
MS,M,17,U,GT3,T,2,4,other,services,home,mother,1,4,0,no,yes,yes,yes,yes,no,yes,no,4,4,3,1,2,5,4,9,8,7
MS,F,17,R,GT3,T,2,2,teacher,other,home,mother,2,2,0,no,yes,no,no,no,yes,no,yes,3,3,4,4,2,3,10,5,5,8
GP,M,15,U,GT3,T,0,4,health,services,reputation,other,1,2,0,no,no,no,no,no,no,no,no,2,4,2,1,2,5,2,7,7,7
GP,M,18,R,GT3,T,3,3,at_home,services,home,mother,1,2,3,no,yes,no,no,no,yes,yes,yes,3,3,3,1,2,4,18,7,8,8
GP,F,16,R,GT3,T,4,3,services,at_home,other,other,4,1,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,4,4,14,13,12,11
GP,F,17,U,GT3,T,3,4,teacher,other,reputation,father,2,3,0,no,no,no,yes,yes,yes,yes,yes,3,2,2,3,3,4,2,9,11,10
GP,F,19,U,GT3,T,1,4,at_home,teacher,reputation,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,2,2,14,14,10
GP,F,18,U,GT3,T,2,4,health,teacher,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,1,5,4,4,6,6
GP,M,16,U,GT3,T,3,1,services,other,other,mother,1,2,0,yes,no,yes,yes,yes,yes,yes,no,3,4,3,3,1,2,2,14,13,13
GP,M,17,U,GT3,T,2,4,services,teacher,other,father,3,2,0,no,yes,no,yes,yes,yes,yes,yes,5,3,2,1,1,2,6,8,6,7
GP,F,18,U,GT3,T,3,3,other,teacher,home,mother,3,2,0,no,yes,yes,yes,no,yes,yes,yes,5,3,4,2,1,4,1,6,6,5
GP,M,18,R,GT3,A,2,3,health,health,course,mother,1,2,1,no,yes,no,no,yes,yes,yes,no,4,3,2,3,5,4,1,10,8,10
GP,F,16,R,GT3,T,2,3,other,services,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,4,2,2,5,3,10,15,15,16
GP,F,15,U,GT3,T,4,4,teacher,other,home,father,2,4,0,yes,no,yes,yes,yes,yes,yes,yes,3,3,1,2,1,4,9,16,16,16
GP,M,18,U,GT3,T,3,4,teacher,health,other,mother,1,3,2,no,no,no,no,yes,yes,yes,yes,5,4,3,2,1,3,6,15,16,17
GP,F,16,R,GT3,T,4,2,other,other,reputation,father,2,2,0,no,yes,no,no,yes,yes,no,yes,2,2,4,2,2,1,2,12,12,12
GP,M,17,U,GT3,T,3,3,at_home,teacher,course,mother,1,1,0,no,no,no,no,yes,yes,no,no,5,5,3,1,1,3,0,4,7,6
GP,M,17,R,LE3,T,3,1,other,health,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,3,4,1,2,3,5,13,8,9,9
GP,M,16,U,LE3,T,2,3,health,services,home,mother,1,4,0,no,yes,yes,no,yes,yes,yes,no,3,4,2,2,1,1,8,8,9,10
GP,F,17,U,GT3,T,4,3,services,other,other,father,2,2,2,no,yes,no,yes,yes,yes,yes,no,5,5,3,1,1,1,3,11,10,7
GP,M,15,U,GT3,T,2,3,teacher,teacher,home,father,1,1,1,no,yes,no,no,yes,yes,yes,no,3,3,2,2,2,5,2,10,11,10
MS,F,16,U,LE3,T,4,4,other,teacher,reputation,father,2,2,3,no,yes,no,no,yes,yes,no,no,4,5,2,4,1,4,10,1,2,3
GP,F,16,U,GT3,A,3,2,at_home,services,home,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,5,2,4,2,3,5,2,12,10,8
MS,M,17,U,GT3,T,1,2,health,other,other,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,3,3,3,1,3,3,6,3,2,2
GP,M,16,U,LE3,T,3,2,teacher,services,other,mother,4,2,0,no,no,no,yes,no,yes,yes,yes,4,4,5,1,1,4,12,13,9,12
MS,M,17,U,LE3,T,4,1,services,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,4,3,4,2,2,4,7,10,9,6
GP,F,16,R,LE3,T,2,2,other,other,course,mother,2,2,0,yes,yes,no,yes,yes,yes,yes,no,4,2,2,1,2,2,7,14,14,14
GP,F,17,U,GT3,T,4,3,other,at_home,home,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,2,4,5,1,2,4,7,15,14,14
MS,F,18,U,GT3,T,0,3,services,at_home,other,mother,3,2,0,no,no,no,yes,yes,yes,yes,no,3,5,3,1,1,3,12,17,15,15
GP,F,18,R,GT3,T,2,4,teacher,health,home,father,2,2,0,no,no,no,no,yes,yes,yes,no,4,3,5,2,2,5,9,9,8,9
GP,M,16,U,LE3,T,4,1,services,other,other,mother,2,2,2,no,yes,no,no,yes,yes,yes,no,4,3,4,1,2,5,6,9,10,7
GP,F,17,R,GT3,T,2,4,at_home,other,course,mother,2,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,2,5,6,11,10,11
MS,M,15,R,GT3,T,2,4,services,health,home,mother,3,1,1,no,yes,no,yes,yes,yes,yes,yes,3,2,1,1,1,4,8,16,16,13
GP,F,17,R,LE3,A,4,3,teacher,services,other,mother,1,4,0,no,no,no,yes,yes,yes,yes,yes,3,3,3,1,1,4,21,7,4,6
GP,F,16,U,GT3,T,3,1,other,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,2,3,3,1,3,5,6,18,18,19
GP,M,17,U,GT3,T,4,2,services,services,course,mother,1,2,0,no,yes,no,yes,yes,no,yes,no,3,3,1,1,1,5,1,8,8,10
MS,M,16,U,GT3,T,4,4,at_home,other,other,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,1,2,3,0,10,7,11
GP,M,17,R,GT3,T,4,4,at_home,services,course,father,3,1,3,no,yes,yes,yes,yes,yes,yes,no,4,4,5,1,2,5,0,5,5,0
GP,F,18,R,GT3,T,4,3,at_home,other,other,other,1,1,0,no,no,no,yes,no,yes,yes,no,4,5,3,1,2,3,2,9,8,9
GP,M,19,U,GT3,T,1,4,health,other,course,mother,1,3,0,yes,yes,yes,yes,no,no,yes,no,5,2,3,1,1,4,7,12,14,16
GP,F,17,U,GT3,T,1,3,other,services,course,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,3,1,2,3,1,13,11,12
MS,M,18,U,GT3,T,4,3,teacher,services,reputation,father,1,2,1,no,yes,yes,no,no,yes,yes,no,5,4,4,2,1,4,41,4,2,0
GP,M,16,U,LE3,T,4,2,services,services,course,mother,1,1,0,no,no,no,no,yes,yes,no,yes,5,5,4,4,2,3,1,6,8,9
GP,F,16,U,GT3,T,2,3,other,other,course,mother,4,3,0,no,no,no,no,yes,yes,no,yes,4,4,2,2,2,2,16,14,15,14
GP,F,18,U,LE3,T,3,3,services,other,course,other,4,2,0,no,no,yes,no,yes,yes,yes,yes,3,3,2,2,3,4,7,11,11,10
MS,M,18,U,GT3,T,3,3,teacher,services,reputation,mother,3,1,0,no,no,yes,no,yes,yes,no,yes,4,3,4,1,5,2,19,12,12,11
MS,F,16,R,GT3,T,4,2,services,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,4,2,3,9,5,2,6
MS,F,16,R,GT3,T,2,3,at_home,other,other,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,2,3,2,1,2,16,19,18
MS,F,17,U,LE3,T,4,2,at_home,other,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,yes,4,4,4,1,2,5,15,9,8,9
GP,M,15,R,LE3,A,3,4,services,services,reputation,father,1,1,0,no,yes,no,yes,yes,yes,yes,yes,1,3,3,1,1,5,1,10,10,7
GP,M,17,R,GT3,T,3,3,at_home,other,reputation,mother,2,2,0,yes,no,no,yes,yes,yes,yes,yes,4,2,2,4,4,5,0,16,16,14
MS,M,16,U,LE3,T,1,2,teacher,services,reputation,father,2,2,0,yes,no,yes,no,yes,yes,yes,no,3,3,5,1,4,4,1,11,10,11
MS,F,17,U,GT3,T,3,3,services,other,other,mother,1,1,0,no,no,no,yes,yes,yes,no,no,4,3,4,1,1,3,6,12,13,14
GP,M,17,U,GT3,T,2,2,other,services,reputation,father,2,3,0,no,no,no,yes,yes,yes,yes,no,4,2,5,1,1,5,24,8,9,12
MS,F,17,U,GT3,A,3,2,teacher,other,other,mother,3,2,0,no,yes,no,no,no,yes,yes,no,3,5,5,1,2,5,1,14,16,14
GP,F,16,U,GT3,T,3,4,teacher,other,home,mother,1,1,0,no,yes,no,yes,yes,yes,no,yes,5,2,4,2,4,5,12,12,12,13
GP,M,17,U,GT3,T,3,3,services,other,other,mother,3,2,0,no,no,yes,no,yes,yes,yes,yes,4,1,4,1,2,5,3,7,9,9
GP,F,17,U,GT3,T,3,1,services,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,2,3,1,2,2,4,0,13,12,12
GP,M,18,U,GT3,T,4,4,services,health,course,father,4,2,0,yes,yes,no,yes,yes,yes,yes,no,5,4,2,2,1,4,2,4,4,5
GP,F,16,R,GT3,T,2,2,services,at_home,other,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,4,3,1,1,3,13,9,12,11
MS,M,19,U,GT3,T,4,3,teacher,other,other,father,1,1,0,no,yes,yes,yes,yes,yes,no,yes,5,4,2,1,1,4,7,14,15,13
GP,F,17,U,GT3,T,2,1,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,3,3,5,2,3,5,1,10,8,10
MS,M,16,U,LE3,T,4,2,other,health,other,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,1,4,2,11,12,10
GP,F,17,U,LE3,T,3,2,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,5,1,3,1,1,5,0,16,16,17
GP,M,17,R,GT3,T,4,2,other,other,home,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,4,2,4,1,3,5,7,10,11,11
MS,F,15,U,LE3,T,3,4,services,other,course,other,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,4,3,1,1,5,4,17,17,15
GP,F,17,U,GT3,T,4,2,teacher,services,home,mother,2,1,0,no,yes,yes,no,yes,yes,yes,yes,3,4,3,3,1,3,16,8,10,10
GP,M,16,U,GT3,T,2,3,teacher,health,home,father,1,2,2,no,no,yes,yes,yes,yes,yes,no,4,5,2,1,2,5,4,9,11,10
MS,M,16,R,GT3,A,4,2,other,health,home,father,1,1,1,no,yes,no,no,yes,yes,yes,no,5,3,3,2,1,3,0,6,8,7
GP,F,17,U,LE3,T,2,3,services,services,course,father,1,2,0,no,no,no,no,yes,yes,yes,yes,3,4,5,1,1,4,5,15,13,13
GP,F,17,U,LE3,T,4,1,teacher,at_home,course,mother,2,1,0,no,no,no,no,yes,yes,no,yes,4,3,1,1,1,4,0,15,15,13
GP,M,16,R,GT3,T,4,4,teacher,services,home,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,1,16,17,16
GP,F,15,U,LE3,T,1,3,health,other,reputation,father,1,4,0,no,yes,no,no,yes,yes,yes,yes,5,4,2,2,1,1,3,14,12,14
GP,F,16,U,LE3,T,2,3,services,other,course,mother,2,1,0,no,no,no,no,yes,no,yes,yes,5,4,2,1,1,4,2,9,7,7
GP,M,15,R,LE3,T,1,4,other,other,home,father,1,3,3,no,yes,no,no,yes,yes,yes,no,3,2,2,1,4,2,2,8,10,12
GP,M,16,U,LE3,T,1,2,at_home,other,other,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,3,5,5,3,3,3,16,13,13
MS,F,19,U,GT3,T,1,3,services,other,other,mother,3,2,2,no,no,no,yes,yes,yes,yes,no,4,2,4,1,2,5,3,11,10,7
GP,F,16,R,LE3,T,3,4,at_home,health,home,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,3,2,3,1,1,5,2,16,14,16
GP,F,18,U,GT3,T,2,3,other,health,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,3,1,2,5,9,8,7,9
GP,F,17,U,GT3,A,4,2,other,other,course,mother,2,3,0,no,no,yes,yes,yes,yes,yes,no,4,1,1,2,2,4,7,9,10,12
GP,M,17,U,GT3,T,4,1,services,services,reputation,father,2,3,0,no,yes,no,no,yes,yes,yes,no,5,3,2,1,3,4,5,14,13,11
MS,F,18,U,GT3,T,2,3,health,other,home,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,4,4,3,1,3,5,5,14,13,13
MS,F,16,U,GT3,A,3,1,services,other,other,father,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,5,3,3,1,3,3,10,13,13,10
GP,F,18,U,LE3,T,4,3,at_home,teacher,reputation,other,1,2,1,no,yes,no,yes,no,yes,yes,no,3,4,4,1,2,3,5,15,13,11
MS,F,15,R,LE3,T,4,1,other,services,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,3,3,1,2,5,7,17,16,15
GP,F,16,U,GT3,T,4,3,other,other,reputation,mother,1,1,2,no,yes,no,yes,yes,yes,no,yes,4,3,3,2,2,3,10,10,10,11
GP,M,15,R,LE3,T,2,4,services,other,reputation,father,1,2,0,yes,yes,yes,no,yes,no,yes,no,4,4,3,2,1,2,13,12,11,11
GP,M,18,U,GT3,T,1,1,other,other,home,mother,1,2,2,yes,no,yes,yes,no,yes,yes,no,5,4,1,1,2,4,2,9,10,9
GP,F,17,U,LE3,T,4,4,at_home,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,5,21,4,6,5
GP,M,17,R,GT3,T,3,2,teacher,at_home,other,mother,3,3,2,no,no,yes,no,yes,yes,yes,no,4,2,3,2,1,5,0,9,8,9
MS,M,17,U,LE3,A,4,1,at_home,services,course,mother,1,4,0,yes,yes,no,no,yes,yes,no,no,3,4,1,1,4,4,7,10,10,9
GP,M,17,U,GT3,T,4,4,teacher,services,home,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,5,3,1,4,3,1,12,9,11
GP,M,15,U,GT3,T,0,3,services,other,other,father,1,4,0,no,no,yes,yes,no,yes,yes,yes,5,4,4,1,1,5,6,8,7,6
MS,F,17,R,LE3,T,3,4,health,services,reputation,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,5,1,4,1,2,4,1,13,10,9
MS,M,17,U,LE3,T,1,3,services,services,reputation,other,1,4,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,1,3,2,10,7,8,8
GP,F,18,U,LE3,T,4,3,teacher,other,other,father,1,1,0,yes,no,no,no,yes,yes,no,no,3,2,1,1,1,5,5,8,9,11
GP,M,16,U,GT3,T,3,3,other,other,reputation,father,2,3,0,no,yes,no,yes,no,yes,yes,yes,2,4,4,2,3,4,3,14,12,13
GP,F,19,R,GT3,T,4,4,at_home,services,home,other,1,2,1,no,yes,yes,no,yes,yes,yes,yes,2,3,2,2,3,4,12,6,5,6
GP,F,16,U,GT3,T,2,4,health,services,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,2,3,4,2,3,0,12,11,12
GP,M,17,U,GT3,T,1,4,at_home,teacher,reputation,mother,4,2,0,no,yes,yes,no,yes,yes,yes,yes,2,3,5,1,4,5,3,13,13,10
MS,F,17,R,LE3,T,2,4,teacher,health,course,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,5,2,2,5,5,13,10,9,9
MS,M,16,U,LE3,T,4,2,services,other,course,father,2,2,0,yes,no,yes,yes,no,yes,yes,no,4,4,4,1,1,4,10,6,5,7
GP,F,16,U,LE3,T,1,1,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,3,2,5,2,12,11,14
GP,F,18,U,GT3,T,2,2,other,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,5,1,5,10,10,9,9
GP,F,19,R,LE3,T,4,2,health,other,course,father,2,4,0,yes,no,no,yes,yes,yes,no,no,5,3,3,1,3,3,2,14,15,16
GP,F,17,U,LE3,T,3,2,other,health,other,mother,1,1,0,no,yes,no,yes,yes,no,yes,yes,4,4,2,1,1,3,3,13,12,13
MS,F,18,U,LE3,T,4,1,other,other,home,mother,1,1,0,yes,no,yes,yes,no,yes,yes,no,4,5,2,1,5,4,8,12,13,16
MS,M,17,U,GT3,A,4,4,health,services,reputation,father,2,2,3,no,yes,yes,no,yes,yes,yes,no,4,4,1,2,1,5,0,6,6,5
GP,F,15,R,LE3,T,2,3,services,at_home,reputation,mother,3,2,0,no,yes,no,no,yes,yes,no,no,5,2,2,1,5,3,4,12,13,12
MS,F,17,U,GT3,T,2,3,other,services,course,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,3,4,1,4,5,3,9,9,9
GP,F,17,U,GT3,T,4,4,teacher,other,home,other,3,2,3,no,yes,no,no,yes,yes,yes,no,3,3,3,1,3,5,2,7,7,0
GP,F,18,R,LE3,T,4,3,services,health,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,2,2,4,4,12,11,9
GP,M,17,R,LE3,T,3,4,other,services,reputation,mother,1,4,1,no,yes,yes,no,yes,yes,yes,yes,4,3,2,3,4,5,0,4,2,8
MS,F,16,U,GT3,T,4,4,other,services,course,mother,1,1,0,no,no,yes,yes,no,yes,no,no,5,5,2,2,4,4,0,10,11,11
MS,F,18,U,GT3,T,4,2,at_home,other,reputation,mother,1,2,1,yes,yes,yes,no,no,yes,yes,yes,4,4,1,1,5,2,16,10,7,10
MS,M,17,U,LE3,T,2,4,other,at_home,home,mother,2,1,0,yes,no,yes,no,yes,yes,no,no,3,4,3,1,1,2,4,3,2,2
GP,M,15,R,GT3,T,3,4,health,health,other,mother,1,2,1,no,no,no,no,yes,yes,yes,yes,5,4,2,2,3,3,3,15,13,12
GP,M,17,U,GT3,T,4,3,at_home,services,home,mother,1,3,0,no,no,yes,no,no,yes,yes,no,4,4,3,1,2,5,0,11,12,13
GP,F,16,U,LE3,A,3,4,teacher,other,other,other,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,3,5,3,7,5,8
MS,F,15,U,GT3,T,4,4,at_home,at_home,reputation,mother,2,1,0,no,no,yes,yes,yes,yes,yes,yes,3,4,5,1,1,5,3,17,18,19
MS,M,15,R,LE3,T,3,2,at_home,at_home,other,father,2,2,0,no,yes,yes,yes,yes,yes,no,no,3,2,2,2,3,4,0,15,14,13
GP,M,15,U,LE3,T,4,3,services,services,home,father,1,1,0,no,yes,no,yes,no,yes,yes,no,4,4,2,1,1,1,1,7,7,7
GP,M,18,R,GT3,T,2,4,at_home,other,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,1,1,2,5,1,5,4,5
MS,F,17,U,LE3,A,3,4,services,at_home,home,mother,1,2,1,no,yes,yes,no,yes,yes,yes,no,5,3,2,1,3,3,13,7,10,8
MS,F,17,U,GT3,T,2,2,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,2,3,1,1,3,5,7,6,4
MS,F,16,U,GT3,T,3,4,at_home,at_home,home,other,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,3,3,1,2,4,4,8,8,8
GP,F,16,U,LE3,A,4,2,services,services,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,2,3,5,1,1,4,2,10,11,10
GP,M,18,R,GT3,T,4,2,services,other,home,mother,2,2,1,yes,yes,yes,no,yes,yes,yes,yes,5,3,2,1,1,5,1,10,12,12
GP,M,18,U,LE3,T,4,1,at_home,services,other,father,1,2,0,no,yes,no,no,yes,yes,yes,no,3,2,4,1,1,5,1,12,13,14
GP,F,17,U,GT3,T,4,3,teacher,services,other,father,1,2,0,no,no,yes,yes,yes,no,yes,yes,5,3,3,2,1,2,10,7,7,11
GP,F,18,U,GT3,T,4,1,services,services,reputation,other,1,2,0,no,no,yes,yes,yes,no,yes,no,4,3,5,1,2,5,6,19,18,20
MS,F,15,R,GT3,T,1,3,other,other,reputation,mother,3,2,0,no,no,no,no,yes,no,yes,no,4,4,2,1,1,3,3,8,7,10
MS,F,17,R,LE3,T,3,2,teacher,services,other,mother,2,4,2,no,yes,no,yes,yes,yes,yes,no,2,4,3,1,4,5,11,12,9,10
GP,M,15,U,GT3,T,4,3,other,other,other,mother,1,3,0,yes,no,yes,no,yes,yes,yes,yes,5,4,2,2,3,5,1,12,12,11
MS,M,15,U,LE3,A,4,3,teacher,other,reputation,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,3,5,4,9,11,7
GP,F,17,U,GT3,T,4,1,other,other,reputation,father,1,3,0,no,no,no,yes,yes,yes,yes,no,3,3,3,2,2,4,3,9,9,9
GP,M,18,R,LE3,T,2,4,other,services,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,3,1,3,1,3,3,11,14,12,12
GP,F,19,U,GT3,T,1,4,other,services,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,2,2,2,2,5,7,13,15,14
MS,M,18,U,GT3,T,2,4,health,services,other,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,2,3,3,1,1,5,1,20,19,16
MS,M,15,R,GT3,T,1,2,teacher,teacher,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,2,4,10,12,13,12
MS,F,17,U,GT3,T,2,1,other,other,course,father,1,1,0,no,yes,yes,no,yes,yes,yes,yes,4,4,2,1,2,3,4,13,11,10
GP,F,15,U,GT3,T,2,3,health,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,3,3,2,1,4,4,0,9,12,10
GP,F,15,R,LE3,T,3,2,services,other,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,3,5,15,12,11,10
GP,F,18,U,LE3,T,2,4,at_home,other,home,father,3,3,1,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,0,15,15,14
MS,F,16,U,GT3,T,1,4,health,teacher,home,mother,2,1,3,no,no,yes,no,yes,yes,yes,no,4,3,3,3,3,4,0,12,12,11
GP,M,18,U,GT3,T,4,3,services,other,course,mother,1,3,0,yes,no,yes,yes,yes,no,yes,no,4,2,4,1,2,4,8,15,15,15
GP,M,18,U,GT3,T,3,3,other,other,home,mother,2,1,2,no,no,no,yes,yes,yes,yes,no,4,4,2,2,3,5,11,7,8,0
GP,F,19,U,GT3,A,1,2,at_home,other,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,4,5,1,2,5,0,10,11,8
GP,F,17,U,LE3,T,3,3,other,at_home,other,other,1,1,1,yes,no,yes,yes,no,yes,yes,yes,3,3,3,1,2,5,7,8,9,10
GP,F,18,U,GT3,T,2,3,services,services,course,father,4,1,0,no,yes,no,no,no,yes,yes,no,5,3,2,1,1,4,2,13,11,14
MS,M,18,U,GT3,T,0,4,other,services,home,mother,2,2,0,no,yes,no,no,no,yes,yes,no,5,3,4,2,1,4,3,10,8,12
GP,F,18,U,GT3,T,4,1,services,services,course,mother,2,3,2,no,no,yes,no,yes,yes,yes,yes,4,5,3,3,2,4,1,4,3,0
GP,F,16,U,GT3,T,3,1,at_home,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,3,1,2,0,11,11,10
GP,F,17,U,LE3,T,4,4,at_home,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,no,1,4,4,3,2,5,6,13,11,11
GP,M,16,U,GT3,T,2,4,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,4,5,2,1,2,5,5,11,11,13
MS,M,19,R,GT3,T,4,2,other,services,home,father,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,3,1,3,3,0,14,12,13
GP,M,18,U,GT3,T,2,3,services,other,course,mother,2,2,0,no,yes,yes,no,no,yes,yes,no,4,4,2,1,1,2,7,19,18,18
GP,F,16,U,LE3,T,3,2,at_home,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,3,1,1,2,4,12,11,11
GP,F,15,U,LE3,T,3,4,teacher,other,home,father,4,4,0,no,yes,yes,no,yes,yes,yes,no,5,2,4,2,3,5,5,1,3,3
GP,M,16,R,GT3,T,2,2,at_home,other,home,mother,2,2,1,no,yes,yes,yes,yes,yes,no,yes,4,1,5,5,4,5,0,7,6,7
GP,M,18,U,GT3,T,2,1,at_home,at_home,other,mother,3,3,0,no,yes,yes,yes,yes,yes,yes,yes,2,3,1,1,2,5,1,11,12,12
MS,F,16,R,LE3,T,4,2,teacher,teacher,course,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,2,2,4,13,11,11
GP,M,19,U,GT3,T,1,4,at_home,teacher,reputation,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,4,1,4,4,0,5,7,6
GP,M,16,U,LE3,T,2,4,services,other,home,father,3,1,1,no,yes,no,no,no,yes,yes,no,4,5,2,1,3,3,2,6,8,9
GP,M,15,R,GT3,T,2,3,teacher,other,other,father,1,2,0,no,yes,no,yes,yes,no,yes,no,3,2,2,1,1,5,4,10,11,8
MS,F,18,U,GT3,T,2,4,services,health,home,mother,1,2,3,no,yes,yes,yes,no,yes,yes,no,3,3,1,1,4,4,7,15,16,13
GP,F,19,R,LE3,T,1,4,teacher,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,no,no,yes,4,2,4,1,5,5,20,14,15,15
MS,M,18,U,LE3,A,3,4,services,other,reputation,mother,3,1,0,no,no,no,yes,yes,no,yes,yes,5,3,4,1,1,5,4,9,9,8
GP,M,16,U,GT3,T,2,1,at_home,other,home,mother,4,3,0,no,yes,yes,yes,no,yes,yes,yes,3,4,3,1,4,3,2,9,8,7
GP,F,17,R,GT3,T,4,2,health,other,reputation,father,1,4,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,16,13,15
GP,F,15,U,LE3,A,3,0,other,other,other,father,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,2,4,3,2,1,0,2,2,5
